time,wind_speed_10m,temperature_2m,cloud_cover,relative_humidity_2m,surface_pressure,apparent_temperature,precipitation,vapour_pressure_deficit
2021-01-05 04:00:00,6.618519,20.25,100.0,91.384346,1014.5997,22.567219,0.1,0.20458865
2021-01-05 05:00:00,8.161764,20.35,100.0,90.25573,1014.8999,22.395157,0.2,0.2328229
2021-01-05 06:00:00,8.161764,20.5,100.0,89.98479,1015.39996,22.591974,0.2,0.24151659
2021-01-05 07:00:00,6.4096174,20.4,100.0,91.10897,1016.09875,22.794764,0.2,0.21308851
2021-01-05 08:00:00,9.449572,20.95,100.0,88.34951,1016.70013,22.924706,0.1,0.28882957
2021-01-05 09:00:00,9.220499,21.55,100.0,85.690605,1017.30225,23.605198,0.1,0.36801815
2021-01-05 10:00:00,8.39657,21.9,100.0,84.40188,1017.3036,24.12289,0.3,0.40981817
2021-01-05 11:00:00,9.826088,22.35,100.0,82.89014,1016.9063,24.436264,0.5,0.4620049
2021-01-05 12:00:00,11.753877,22.5,100.0,83.42467,1016.20776,24.426708,0.2,0.45165467
2021-01-05 13:00:00,12.768586,22.85,99.0,82.69215,1015.41016,24.726976,0.1,0.48171067
2021-01-05 14:00:00,14.24163,23.0,99.0,82.709946,1014.61176,24.736645,0.0,0.48559237
2021-01-05 15:00:00,14.458382,23.15,100.0,81.45648,1014.51245,24.805063,0.0,0.52553964
2021-01-05 16:00:00,12.979984,22.95,100.0,82.70403,1015.11115,24.845741,0.0,0.48429537
2021-01-05 17:00:00,11.165805,22.6,100.0,83.95547,1015.7088,24.71095,0.1,0.43984175
2021-01-05 18:00:00,10.829959,22.15,100.0,86.01726,1016.1064,24.285604,0.2,0.37299204
2021-01-05 19:00:00,4.1046314,21.7,100.0,90.07103,1016.0045,24.966282,0.3,0.25768876
2021-01-05 20:00:00,3.8939953,21.6,89.0,90.623405,1016.1038,24.897087,0.0,0.24187136
2021-01-05 21:00:00,3.2599385,21.3,100.0,92.303566,1016.4021,24.689816,0.0,0.19492316
2021-01-05 22:00:00,3.6179552,21.05,100.0,95.19105,1016.2015,24.514286,0.1,0.11994052
2021-01-05 23:00:00,2.0364676,21.25,100.0,93.45028,1016.10223,24.893951,0.2,0.16537213
2021-01-06 00:00:00,2.2768397,21.35,100.0,90.32584,1015.70337,24.733639,0.2,0.24576902
2021-01-06 01:00:00,2.9024127,21.2,100.0,88.92221,1015.3032,24.296959,0.3,0.27886462
2021-01-06 02:00:00,6.2145634,21.2,100.0,87.82133,1015.0036,23.717741,0.6,0.30658293
2021-01-06 03:00:00,6.924738,21.2,100.0,90.31535,1014.5043,23.832108,0.8,0.24378943
2021-01-06 04:00:00,10.464797,21.3,100.0,93.74194,1014.60443,23.765568,1.1,0.15849113
2021-01-06 05:00:00,12.819235,21.6,100.0,90.06385,1014.8054,23.545383,1.8,0.25630713
2021-01-06 06:00:00,14.277983,21.9,98.0,88.42818,1015.406,23.632381,0.7,0.304013
2021-01-06 07:00:00,14.33234,21.65,100.0,88.95787,1015.70465,23.300034,0.3,0.285712
2021-01-06 08:00:00,16.267857,22.1,100.0,87.62726,1016.7052,23.567026,0.2,0.32903576
2021-01-06 09:00:00,13.708391,22.35,100.0,89.84005,1016.9063,24.521505,0.6,0.2743106
2021-01-06 10:00:00,17.418196,22.75,100.0,87.684044,1016.6083,24.380093,0.4,0.34068346
2021-01-06 11:00:00,18.345877,23.15,99.0,84.5368,1015.9107,24.541176,0.2,0.43821716
2021-01-06 12:00:00,18.25026,23.15,96.0,83.75732,1014.8121,24.478436,0.1,0.46031404
2021-01-06 13:00:00,17.76081,23.4,65.0,82.75737,1013.71484,24.825048,0.1,0.4960711
2021-01-06 14:00:00,17.992796,23.05,100.0,83.74608,1013.0141,24.365301,0.2,0.45786357
2021-01-06 15:00:00,16.62249,23.0,100.0,81.437485,1012.6143,24.26538,0.4,0.52134085
2021-01-06 16:00:00,14.799459,22.8,100.0,83.20068,1012.8134,24.405664,0.3,0.46614337
2021-01-06 17:00:00,12.864649,22.5,98.0,85.25595,1013.31146,24.437935,0.4,0.40174222
2021-01-06 18:00:00,11.384199,22.3,100.0,86.835106,1013.61017,24.504126,0.2,0.354383
2021-01-06 19:00:00,9.3669195,21.55,97.0,90.62003,1013.8067,24.02391,0.1,0.24122143
2021-01-06 20:00:00,9.3876505,21.7,100.0,90.07103,1014.107,24.195843,0.2,0.25768876
2021-01-06 21:00:00,9.0645685,21.55,100.0,91.182785,1014.20624,24.11824,0.3,0.22674704
